GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
2007;Januar;34474;38191
2007;Februar;31700;35610
2007;März;35453;40768
2007;April;32785;37159
2007;Mai;32173;35327
2007;Juni;30275;33758
2007;Juli;31785;34898
2007;August;30744;33608
2007;September;30016;33113
2007;Oktober;32724;35982
2007;November;33210;36852
2007;Dezember;35800;40750
2008;Januar;37192;42345
2008;Februar;33318;37707
2008;März;35389;40675
2008;April;33470;37678
2008;Mai;33088;37141
2008;Juni;30579;33819
2008;Juli;31579;35136
2008;August;30898;34707
2008;September;30506;33703
2008;Oktober;33114;36740
2008;November;32606;36165
2008;Dezember;35912;40972
2009;Januar;41186;48840
2009;Februar;35500;41705
2009;März;35780;40186
2009;April;32934;36209
2009;Mai;32686;35208
2009;Juni;30971;33916
2009;Juli;31803;34472
2009;August;31035;34008
2009;September;30641;32847
2009;Oktober;33022;36369
2009;November;33366;36604
2009;Dezember;36045;39211
2010;Januar;36763;40627
2010;Februar;33443;37823
2010;März;35978;40404
2010;April;33334;36289
2010;Mai;33713;36363
2010;Juni;32321;34702
2010;Juli;34642;38731
2010;August;32039;35489
2010;September;31926;34720
2010;Oktober;34000;37343
2010;November;33382;36281
2010;Dezember;37481;40974
2011;Januar;36419;40361
2011;Februar;33156;36441
2011;März;36396;40516
2011;April;33696;36435
2011;Mai;34004;36609
2011;Juni;31590;34017
2011;Juli;32161;34485
2011;August;32981;35589
2011;September;31418;33699
2011;Oktober;34672;37153
2011;November;34009;37941
2011;Dezember;37126;41454
2012;Januar;36470;40425
2012;Februar;36165;40342
2012;März;36976;41228
2012;April;34794;38640
2012;Mai;34336;36934
2012;Juni;32153;34436
2012;Juli;32937;35454
2012;August;33066;35406
2012;September;31945;34155
2012;Oktober;35015;37528
2012;November;34849;37620
2012;Dezember;37717;40991
2013;Januar;39227;43035
2013;Februar;38395;43562
2013;März;41595;47799
2013;April;37352;41238
2013;Mai;34868;36654
2013;Juni;33465;35193
2013;Juli;34247;36043
2013;August;33018;35152
2013;September;31845;33755
2013;Oktober;34923;36857
2013;November;34147;36017
2013;Dezember;36563;38875
2014;Januar;36534;38986
2014;Februar;33447;36066
2014;März;37460;39876
2014;April;34732;37209
2014;Mai;34227;35936
2014;Juni;32973;34538
2014;Juli;35017;36778
2014;August;33571;35039
2014;September;33395;35131
2014;Oktober;35480;37117
2014;November;36012;37710
2014;Dezember;39377;41745
2015;Januar;41367;45218
2015;Februar;42664;47248
2015;März;43308;47418
2015;April;37227;39597
2015;Mai;36106;37437
2015;Juni;34291;35193
2015;Juli;37032;38657
2015;August;35049;36706
2015;September;33251;34567
2015;Oktober;36766;38088
2015;November;35469;36675
2015;Dezember;36982;38884
2016;Januar;40008;41734
2016;Februar;37454;39165
2016;März;40886;42782
2016;April;37207;38108
2016;Mai;36759;37766
2016;Juni;34378;34808
2016;Juli;35797;36325
2016;August;35202;36093
2016;September;33968;35069
2016;Oktober;37679;38322
2016;November;37804;39246
2016;Dezember;41162;43177
2017;Januar;46239;49794
2017;Februar;43205;47444
2017;März;40530;42404
2017;April;36197;37007
2017;Mai;37501;38182
2017;Juni;34649;34995
2017;Juli;35398;36013
2017;August;34992;36496
2017;September;34420;34971
2017;Oktober;37307;37922
2017;November;37265;37722
2017;Dezember;40053;41557
2018;Januar;41932;43041
2018;Februar;41632;44167
2018;März;50949;56155
2018;April;39042;40497
2018;Mai;37071;37577
2018;Juni;34717;34611
2018;Juli;37360;38245
2018;August;38619;39751
2018;September;34389;35319
2018;Oktober;36945;37094
2018;November;37298;37464
2018;Dezember;40078;40921
2019;Januar;42107;42998
2019;Februar;39978;41031
2019;März;42430;44309
2019;April;38469;38941
